,accuracy_score(train),precision_score(train),recall_score(train),f1_score(train),accuracy_score(test),precision_score(test),recall_score(test),f1_score(test)
935,0.979459871,0.995265152,0.955454545,0.974953618,0.645896657,0.605263158,0.421245421,0.496760259
936,0.981361734,0.994355597,0.960909091,0.977346278,0.658054711,0.621212121,0.450549451,0.522292994
937,0.980600989,0.993414864,0.96,0.976421637,0.67325228,0.654255319,0.450549451,0.53362256
938,0.978699125,0.993383743,0.955454545,0.974050046,0.665653495,0.630541872,0.468864469,0.537815126
939,0.980220616,0.993408663,0.959090909,0.975948196,0.645896657,0.601010101,0.435897436,0.505307856
940,0.984404717,0.995322732,0.967272727,0.98109728,0.635258359,0.583756345,0.421245421,0.489361702
941,0.980981362,0.99904943,0.955454545,0.976765799,0.656534954,0.620512821,0.443223443,0.517094017
942,0.980981362,0.996219282,0.958181818,0.976830399,0.651975684,0.61,0.446886447,0.515856237
943,0.983263598,0.993457944,0.966363636,0.979723502,0.629179331,0.57591623,0.402930403,0.474137931
944,0.980220616,0.993408663,0.959090909,0.975948196,0.664133739,0.632653061,0.454212454,0.528784648
945,0.982502853,0.995300752,0.962727273,0.978743068,0.656534954,0.624338624,0.432234432,0.510822511
946,0.987067326,0.994434137,0.974545455,0.984389348,0.658054711,0.62,0.454212454,0.524312896
947,0.980600989,0.999048525,0.954545455,0.976290098,0.635258359,0.589189189,0.399267399,0.475982533
948,0.984785089,0.996254682,0.967272727,0.981549815,0.650455927,0.611398964,0.432234432,0.506437768
949,0.976416889,0.995229008,0.948181818,0.97113594,0.64893617,0.602941176,0.450549451,0.51572327
950,0.979079498,0.990610329,0.959090909,0.974595843,0.655015198,0.606481481,0.47985348,0.535787321
951,0.981742107,0.995291902,0.960909091,0.977798335,0.639817629,0.587378641,0.443223443,0.505219207
952,0.981742107,0.996226415,0.96,0.977777778,0.668693009,0.631578947,0.483516484,0.547717842
953,0.979459871,0.993396226,0.957272727,0.975,0.642857143,0.595959596,0.432234432,0.501061571
954,0.981742107,0.997164461,0.959090909,0.977757183,0.623100304,0.560386473,0.424908425,0.483333333
955,0.985165462,0.996258185,0.968181818,0.982019364,0.633738602,0.586021505,0.399267399,0.474945534
956,0.979079498,0.993389991,0.956363636,0.974525243,0.655015198,0.60952381,0.468864469,0.530020704
957,0.974515025,0.990503324,0.948181818,0.968880632,0.674772036,0.649746193,0.468864469,0.544680851
958,0.980600989,0.996215705,0.957272727,0.97635605,0.655015198,0.611650485,0.461538462,0.526096033
959,0.981361734,0.995287465,0.96,0.977325312,0.633738602,0.581632653,0.417582418,0.486140725
960,0.980600989,0.996215705,0.957272727,0.97635605,0.67325228,0.652631579,0.454212454,0.535637149
961,0.976036516,0.993339676,0.949090909,0.970711297,0.650455927,0.604878049,0.454212454,0.518828452
962,0.982502853,0.997169811,0.960909091,0.978703704,0.645896657,0.595238095,0.457875458,0.517598344
963,0.976797261,0.993352327,0.950909091,0.971667441,0.64893617,0.605,0.443223443,0.511627907
964,0.979459871,0.994328922,0.956363636,0.97497683,0.632218845,0.575609756,0.432234432,0.493723849
965,0.984785089,0.990740741,0.972727273,0.981651376,0.630699088,0.578125,0.406593407,0.477419355
966,0.979840243,0.994334278,0.957272727,0.975451598,0.639817629,0.597826087,0.402930403,0.481400438
967,0.978699125,0.991525424,0.957272727,0.974098057,0.653495441,0.613065327,0.446886447,0.516949153
968,0.979079498,0.995260664,0.954545455,0.974477958,0.655015198,0.618556701,0.43956044,0.51391863
969,0.975656143,0.994274809,0.947272727,0.970204842,0.647416413,0.595348837,0.468864469,0.524590164
970,0.982883226,0.995305164,0.963636364,0.979214781,0.653495441,0.613065327,0.446886447,0.516949153
971,0.981361734,0.995287465,0.96,0.977325312,0.6443769,0.598984772,0.432234432,0.50212766
972,0.983263598,0.995309568,0.964545455,0.979686057,0.665653495,0.635897436,0.454212454,0.52991453
973,0.973754279,0.995196926,0.941818182,0.967772069,0.624620061,0.564356436,0.417582418,0.48
974,0.977558007,0.996186845,0.95,0.97254537,0.664133739,0.634020619,0.450549451,0.526766595
975,0.981361734,0.995287465,0.96,0.977325312,0.64893617,0.609375,0.428571429,0.503225806
976,0.982502853,0.996233522,0.961818182,0.978723404,0.668693009,0.639593909,0.461538462,0.536170213
977,0.984024344,0.991635688,0.97,0.980698529,0.655015198,0.616161616,0.446886447,0.518046709
978,0.982883226,0.995305164,0.963636364,0.979214781,0.6443769,0.59798995,0.435897436,0.504237288
979,0.98212248,0.996229972,0.960909091,0.97825081,0.671732523,0.637681159,0.483516484,0.55
980,0.98212248,0.995296331,0.961818182,0.97827092,0.667173252,0.636363636,0.461538462,0.535031847
981,0.98212248,0.994366197,0.962727273,0.978290993,0.618541033,0.556701031,0.395604396,0.462526767
982,0.979459871,0.995265152,0.955454545,0.974953618,0.661094225,0.62254902,0.465201465,0.532494759
983,0.979840243,0.995269631,0.956363636,0.975428836,0.653495441,0.617801047,0.432234432,0.50862069
984,0.984404717,0.997183099,0.965454545,0.981062356,0.655015198,0.626373626,0.417582418,0.501098901
985,0.97793838,0.992438563,0.954545455,0.973123262,0.6443769,0.606557377,0.406593407,0.486842105
986,0.983263598,0.998113208,0.961818182,0.97962963,0.64893617,0.597222222,0.472527473,0.527607362
987,0.981361734,0.994355597,0.960909091,0.977346278,0.662613982,0.617511521,0.490842491,0.546938776
988,0.981361734,0.99342723,0.961818182,0.977367206,0.671732523,0.63507109,0.490842491,0.553719008
989,0.980981362,0.996219282,0.958181818,0.976830399,0.676291793,0.653061224,0.468864469,0.545842217
990,0.984404717,0.995322732,0.967272727,0.98109728,0.653495441,0.62295082,0.417582418,0.5
991,0.980220616,0.991557223,0.960909091,0.975992613,0.647416413,0.612021858,0.41025641,0.49122807
992,0.980600989,0.996215705,0.957272727,0.97635605,0.651975684,0.611111111,0.443223443,0.513800425
993,0.984024344,0.993470149,0.968181818,0.980662983,0.638297872,0.583732057,0.446886447,0.506224066
994,0.98212248,0.995296331,0.961818182,0.97827092,0.6443769,0.598984772,0.432234432,0.50212766
995,0.98212248,0.995296331,0.961818182,0.97827092,0.656534954,0.610328638,0.476190476,0.534979424
996,0.981361734,0.994355597,0.960909091,0.977346278,0.658054711,0.621212121,0.450549451,0.522292994
997,0.983643971,0.995313964,0.965454545,0.980156899,0.658054711,0.613207547,0.476190476,0.536082474
998,0.978318752,0.995251662,0.952727273,0.973525314,0.645896657,0.601010101,0.435897436,0.505307856
999,0.979459871,0.993396226,0.957272727,0.975,0.642857143,0.59223301,0.446886447,0.509394572
