,accuracy_score(train),precision_score(train),recall_score(train),f1_score(train),accuracy_score(test),precision_score(test),recall_score(test),f1_score(test),,total,train,test
108,0.985718354,0.996836001,0.96430471,0.980300542,0.750151616,0.738232051,0.506733068,0.600959153,,,,
109,0.98640618,0.996924415,0.966090979,0.981265544,0.746143037,0.730648536,0.500916335,0.594355677,,,,
110,0.985951327,0.997126675,0.964655942,0.980622587,0.749057022,0.736551323,0.504581673,0.598888758,,,,
111,0.986280448,0.99695422,0.965719676,0.98108841,0.74756305,0.732250231,0.504581673,0.597462025,,,,
112,0.985958723,0.996673368,0.965117563,0.980641675,0.74846535,0.737153571,0.50123506,0.596722556,,,,
113,0.986727905,0.996875776,0.96701422,0.981717971,0.748539309,0.735164325,0.504422311,0.59831766,,,,
114,0.985796011,0.996661552,0.964686048,0.980413154,0.750003698,0.739470763,0.504342629,0.599682607,,,,
115,0.985862575,0.99701251,0.964525484,0.980499972,0.749574736,0.737389586,0.505537849,0.599839274,,,,
116,0.98623977,0.997211453,0.965358408,0.981026439,0.750240367,0.738849799,0.506215139,0.600799111,,,,
117,0.986121435,0.996654306,0.965579183,0.980870682,0.749974114,0.737360283,0.507250996,0.601033823,,,,
118,0.986040079,0.997055225,0.964967034,0.980748734,0.749545152,0.73636995,0.50689243,0.600453065,,,,
119,0.986017891,0.997147835,0.964816506,0.980715776,0.748317432,0.734334241,0.504701195,0.59823853,,,,
120,0.986069663,0.996684694,0.965408584,0.980797366,0.748702019,0.735251465,0.50498008,0.598738752,,,,
121,0.986191697,0.996696115,0.965729711,0.980968594,0.748909104,0.733008317,0.509163347,0.600916892,,,,
122,0.985988307,0.996817795,0.965057351,0.980680491,0.747015753,0.732782209,0.501474104,0.595453793,,,,
123,0.986003099,0.996859127,0.965057351,0.980700493,0.750891206,0.740604789,0.506414343,0.601519059,,,,
124,0.985866273,0.99708473,0.964465273,0.98050378,0.748199098,0.73358783,0.505298805,0.598409965,,,,
125,0.986147321,0.997004592,0.965308232,0.980900423,0.747710968,0.734136686,0.502430279,0.596575051,,,,
126,0.985906951,0.997136632,0.964525484,0.980559991,0.745447822,0.729696687,0.49936255,0.592946519,,,,
127,0.986032683,0.996983018,0.96501721,0.980739713,0.750388285,0.737703023,0.508486056,0.602014103,,,,
128,0.985988307,0.996776601,0.965097492,0.980681279,0.748835145,0.735662874,0.504940239,0.598847099,,,,
129,0.986261958,0.996593921,0.966020733,0.981069196,0.74740034,0.731731269,0.504661355,0.597345028,,,,
130,0.98638769,0.997315673,0.965659465,0.981232314,0.749352859,0.738520035,0.502988048,0.598412134,,,,
131,0.985866273,0.997053789,0.964495379,0.980504377,0.745699283,0.728845931,0.501713147,0.594317806,,,,
132,0.986102945,0.997076357,0.965117563,0.980836699,0.749604319,0.737144515,0.506015936,0.600094496,,,,
133,0.985966119,0.996982455,0.964836576,0.980646148,0.749648695,0.736970259,0.506454183,0.600344754,,,,
134,0.986125133,0.997014709,0.965237985,0.980869051,0.7519858,0.741075045,0.510278884,0.604393271,,,,
135,0.986306334,0.996779471,0.965960521,0.981128037,0.750477036,0.737711546,0.508844622,0.602268172,,,,
136,0.986069663,0.997065776,0.965037281,0.980790119,0.749929739,0.735920765,0.509163347,0.601893279,,,,
137,0.986616966,0.996987952,0.966602776,0.981560269,0.750669329,0.737579251,0.509840637,0.602921084,,,,
138,0.986073361,0.996880344,0.96522795,0.980798842,0.747370757,0.734244495,0.500836653,0.595485659,,,,
139,0.986254562,0.996902517,0.965699606,0.981053018,0.749397234,0.735834875,0.507051793,0.600386829,,,,
140,0.986165811,0.997087177,0.965278126,0.980924847,0.748258265,0.734571843,0.504103586,0.597897224,,,,
141,0.98633222,0.996913484,0.96590031,0.981161887,0.750358701,0.738915684,0.506613546,0.601101421,,,,
142,0.986180603,0.996901875,0.965498901,0.980949128,0.749441609,0.736646755,0.506055777,0.59995749,,,,
143,0.986162113,0.996994414,0.965358408,0.980921401,0.747696176,0.735934292,0.499760956,0.595278206,,,,
144,0.986317428,0.996975128,0.965799958,0.981139962,0.750195991,0.737258754,0.508326693,0.601754469,,,,
145,0.986302636,0.99735628,0.965388514,0.981112063,0.749397234,0.736985824,0.505378486,0.599593496,,,,
146,0.986520818,0.997244551,0.966090979,0.981420598,0.75124621,0.740379593,0.508207171,0.602707364,,,,
147,0.985899555,0.996961274,0.964676013,0.980552963,0.747489091,0.734259205,0.501314741,0.595828302,,,,
148,0.986224978,0.996758156,0.965759817,0.981014174,0.750210783,0.738016577,0.507290837,0.60127972,,,,
149,0.985755333,0.997011611,0.964234463,0.980349144,0.746690334,0.733665397,0.498804781,0.593857465,,,,
150,0.985910649,0.996837707,0.964826541,0.980570939,0.747666593,0.732278006,0.50498008,0.597750477,,,,
151,0.985807105,0.996713153,0.964665978,0.980427754,0.748613268,0.733829554,0.506693227,0.599467371,,,,
152,0.98646165,0.997089591,0.966080944,0.981340374,0.747385548,0.733360484,0.502191235,0.596150208,,,,
153,0.985958723,0.997137048,0.964665978,0.980632788,0.745714074,0.728333045,0.502549801,0.594733492,,,,
154,0.986409878,0.996996499,0.966030768,0.9812694,0.749471193,0.736430516,0.506494024,0.600193565,,,,
155,0.985921743,0.9967966,0.964896788,0.980587326,0.747903262,0.732016357,0.506374502,0.598638815,,,,
156,0.986217582,0.997005181,0.965498901,0.980999138,0.746941794,0.731732777,0.502709163,0.595975817,,,,
157,0.985736843,0.99654772,0.964635872,0.980332166,0.746912211,0.732944606,0.500796813,0.595029586,,,,
158,0.985936535,0.997126556,0.964615801,0.980601788,0.748657644,0.734932777,0.505258964,0.598828973,,,,
159,0.985881065,0.996827141,0.964756295,0.980529547,0.747607425,0.735151267,0.500517928,0.595558084,,,,
160,0.985840387,0.996888612,0.964585696,0.980471161,0.749441609,0.737307357,0.505099602,0.599503487,,,,
161,0.98635071,0.996923937,0.965940451,0.98118766,0.74862806,0.733925892,0.506613546,0.599443737,,,,
162,0.98622128,0.997036116,0.965478831,0.981003752,0.750832039,0.736600745,0.511952191,0.604066283,,,,
163,0.985943931,0.996704117,0.965047316,0.980620293,0.749352859,0.738827388,0.502549801,0.598202642,,,,
164,0.986106643,0.996890934,0.965308232,0.980845412,0.749441609,0.737999417,0.504103586,0.599029471,,,,
165,0.986328522,0.997006112,0.965799958,0.981154966,0.75001849,0.740328253,0.503187251,0.59914611,,,,
166,0.986420972,0.997192263,0.965870204,0.981281351,0.749249316,0.73562753,0.506733068,0.600094362,,,,
167,0.98627675,0.997026277,0.965639394,0.981081866,0.75026995,0.734195976,0.51314741,0.604085078,,,,
168,0.986125133,0.996829311,0.965418619,0.980872562,0.749219732,0.736198098,0.505776892,0.599612696,,,,
169,0.986077059,0.99680829,0.965308232,0.980805408,0.747311589,0.733636417,0.501474104,0.595735618,,,,
170,0.986117737,0.99666456,0.965559112,0.980865292,0.748879521,0.735763627,0.50498008,0.598908498,,,,
171,0.986080757,0.996890708,0.965237985,0.980809039,0.748879521,0.735435627,0.505458167,0.599135794,,,,
172,0.986173207,0.997035717,0.965348373,0.980936211,0.747474299,0.732911686,0.503227092,0.59673076,,,,
173,0.986069663,0.996818521,0.965278126,0.98079482,0.748746394,0.736009308,0.504063745,0.598344762,,,,
174,0.985932837,0.996910028,0.964816506,0.980600745,0.750033282,0.737421111,0.507410359,0.601165892,,,,
175,0.986206488,0.99715965,0.965318267,0.980980644,0.747341173,0.73207154,0.503904382,0.596927579,,,,
176,0.985574132,0.996680085,0.964063864,0.980100695,0.749767029,0.7391711,0.503784861,0.599189708,,,,
177,0.985829293,0.997177281,0.964274604,0.980449977,0.749175357,0.736426456,0.505258964,0.599324213,,,,
178,0.986102945,0.996829114,0.965358408,0.980841388,0.748154722,0.735668418,0.502071713,0.5968269,,,,
179,0.98554085,0.996731314,0.963923371,0.980052852,0.751142667,0.741536306,0.506135458,0.601629096,,,,
180,0.985581528,0.996865724,0.963903301,0.980107447,0.745965535,0.731321504,0.499163347,0.593341542,,,,
181,0.98657259,0.997131674,0.96634186,0.981495355,0.750299534,0.737777006,0.508007968,0.601703513,,,,
182,0.985910649,0.9967553,0.964906823,0.980572524,0.749397234,0.736272011,0.506414343,0.600084978,,,,
183,0.98629524,0.997088234,0.965629359,0.981106681,0.750506619,0.738485603,0.507848606,0.601827152,,,,
184,0.986376596,0.996852122,0.966080944,0.981225347,0.748169514,0.736346075,0.501155378,0.596401394,,,,
185,0.986121435,0.997055897,0.965187809,0.980863074,0.745995119,0.731596167,0.498884462,0.593234792,,,,
186,0.986021589,0.997127241,0.964846612,0.980721368,0.750624954,0.739940604,0.50625498,0.601187519,,,,
187,0.986017891,0.997147835,0.964816506,0.980715776,0.751394128,0.738757413,0.511155378,0.604233876,,,,
188,0.986224978,0.996922854,0.965599253,0.981011077,0.751837882,0.741064705,0.509681275,0.603970446,,,,
189,0.985847783,0.996713527,0.964776365,0.980484944,0.749249316,0.735436893,0.507011952,0.600226394,,,,
190,0.985862575,0.99712596,0.964415097,0.980497783,0.745802825,0.731771596,0.497808765,0.59253112,,,,
191,0.986014193,0.996848925,0.965097492,0.980716282,0.747252422,0.733737822,0.501075697,0.595487796,,,,
192,0.985899555,0.9967449,0.964886753,0.980557128,0.746690334,0.732141818,0.501035857,0.594933415,,,,
193,0.985955025,0.996920525,0.964866682,0.980631738,0.749264108,0.73720673,0.504501992,0.599049128,,,,
194,0.985992005,0.996951757,0.964936929,0.980683128,0.747045337,0.732191582,0.50247012,0.595959835,,,,
195,0.985655488,0.996907623,0.964063864,0.980210698,0.748613268,0.736891331,0.502231076,0.597341673,,,,
196,0.986247166,0.997170281,0.965418619,0.981037604,0.750684121,0.739945288,0.506494024,0.601357584,,,,
197,0.985921743,0.996992388,0.964706118,0.980583564,0.747089712,0.732724523,0.50187251,0.595715502,,,,
198,0.985929139,0.996940913,0.964776365,0.980594952,0.749441609,0.737805233,0.50438247,0.599162309,,,,
199,0.985914347,0.997012944,0.964665978,0.980572769,0.74936765,0.736597819,0.505816733,0.599773243,,,,
200,0.986010495,0.996838592,0.965097492,0.980711281,0.748391391,0.734792199,0.504342629,0.598138348,,,,
201,0.985673978,0.996794373,0.964224428,0.980238928,0.750713705,0.740675889,0.505577689,0.600951862,,,,
202,0.985943931,0.996827701,0.964926893,0.980617922,0.748095555,0.732618471,0.506294821,0.598784338,,,,
203,0.986080757,0.996859811,0.965268091,0.980809626,0.748731603,0.734547557,0.506135458,0.599315957,,,,
204,0.986506026,0.997265042,0.966030768,0.98139945,0.749796613,0.736656451,0.50752988,0.600995447,,,,
205,0.986128831,0.996726406,0.965529007,0.980879707,0.749027439,0.737626366,0.502908367,0.598062208,,,,
206,0.986058569,0.996993541,0.965077422,0.980775899,0.747932845,0.732905612,0.505179283,0.598099101,,,,
207,0.986154717,0.996736935,0.965589218,0.980915875,0.749633903,0.733622956,0.511314741,0.602620087,,,,
208,0.985803407,0.996816145,0.96455559,0.980420558,0.750787664,0.736854191,0.511394422,0.603762935,,,,
209,0.986176905,0.996963636,0.965428655,0.980942767,0.750343909,0.738291213,0.507450199,0.601482811,,,,
210,0.986054871,0.997086271,0.96497707,0.980768937,0.747873678,0.733410606,0.504183267,0.597568174,,,,
211,0.985722051,0.99656817,0.964575661,0.980310965,0.748864729,0.734685622,0.506494024,0.599613244,,,,
212,0.986187999,0.997149196,0.965278126,0.980954858,0.74936765,0.735314484,0.507689243,0.60065991,,,,
213,0.985710958,0.996640154,0.964475308,0.980293959,0.749323275,0.735867616,0.506693227,0.600146285,,,,
214,0.985777521,0.997145911,0.964164216,0.980377751,0.74862806,0.734793187,0.505338645,0.598838582,,,,
215,0.9863692,0.996944683,0.965970557,0.981213239,0.748702019,0.735552071,0.504541833,0.598530142,,,,
216,0.985733145,0.996660963,0.964515449,0.980324759,0.749914947,0.738321019,0.50561753,0.600203363,,,,
217,0.985899555,0.99690974,0.964726189,0.980553955,0.748923896,0.737047841,0.503306773,0.598153409,,,,
218,0.986398784,0.997006701,0.965990627,0.981253632,0.749559944,0.736275814,0.507091633,0.600561493,,,,
219,0.986398784,0.997037589,0.965960521,0.981253058,0.749471193,0.735883951,0.507290837,0.600570714,,,,
220,0.985629602,0.996515788,0.964374956,0.980181963,0.750048073,0.737959847,0.506693227,0.600840932,,,,
221,0.986003099,0.99687973,0.965037281,0.980700099,0.747651801,0.73258505,0.504462151,0.597489619,,,,
222,0.985762729,0.996805476,0.964455238,0.980363555,0.748746394,0.735324826,0.505059761,0.598819084,,,,
223,0.986021589,0.997065381,0.964906823,0.980722547,0.747799719,0.735022772,0.501513944,0.596220338,,,,
224,0.985832991,0.996764895,0.964686048,0.980463152,0.751290585,0.740676194,0.507968127,0.602637425,,,,
225,0.985973515,0.996519145,0.965308232,0.980665419,0.750077657,0.736644744,0.5087251,0.601828722,,,,
226,0.986321126,0.996985456,0.965799958,0.981144963,0.749485985,0.735681293,0.507649402,0.600754361,,,,
227,0.98542991,0.996596275,0.963752772,0.979899395,0.750935582,0.738510393,0.509601594,0.603064592,,,,
228,0.986051173,0.997075932,0.96497707,0.980763935,0.74911619,0.736118364,0.505458167,0.59936223,,,,
229,0.986025287,0.997044795,0.964936929,0.980728139,0.747799719,0.735132609,0.501354582,0.596143825,,,,
230,0.986136227,0.99678823,0.965488866,0.980888927,0.747651801,0.734676007,0.501394422,0.596021785,,,,
231,0.986017891,0.996725389,0.96522795,0.980723837,0.747355965,0.732679587,0.503067729,0.596541787,,,,
232,0.986506026,0.996678463,0.966602776,0.981410253,0.750935582,0.73757764,0.510956175,0.603699868,,,,
233,0.986062267,0.996849349,0.96522795,0.98078384,0.747844094,0.733731932,0.503585657,0.597254707,,,,
234,0.98622128,0.997128849,0.965388514,0.981002009,0.747992012,0.735223759,0.502031873,0.596652383,,,,
235,0.986273052,0.997222021,0.96543869,0.981073006,0.750225575,0.735439119,0.511115538,0.603093268,,,,
236,0.986088153,0.996756914,0.965388514,0.980821974,0.748746394,0.736918944,0.502749004,0.597716938,,,,
237,0.986454254,0.99703805,0.96611105,0.981330941,0.748731603,0.737597376,0.501713147,0.597206744,,,,
238,0.986069663,0.996828818,0.965268091,0.980794624,0.747208047,0.733174197,0.501713147,0.595751727,,,,
239,0.98548538,0.996823617,0.963682526,0.979972957,0.745728866,0.729275362,0.501195219,0.594096812,,,,
240,0.986469046,0.996873512,0.966311754,0.981354749,0.751127875,0.737883056,0.511314741,0.604052432,,,,
241,0.986343314,0.997088626,0.965759817,0.981174204,0.748317432,0.736694186,0.5012749,0.596600204,,,,
242,0.986043777,0.997086181,0.964946964,0.980753343,0.749500777,0.739204312,0.502629482,0.598382621,,,,
243,0.986324824,0.99691342,0.96588024,0.981151502,0.747311589,0.734018331,0.500916335,0.59546757,,,,
244,0.986125133,0.997045622,0.96520788,0.980868466,0.748287849,0.735203399,0.503306773,0.597545113,,,,
245,0.986095549,0.997076296,0.965097492,0.980826305,0.748849937,0.734643167,0.506494024,0.599599104,,,,
246,0.985958723,0.996869039,0.964926893,0.980637924,0.749308483,0.735389235,0.507330677,0.600433799,,,,
247,0.986136227,0.996777937,0.965498901,0.980889122,0.746453665,0.72969697,0.503665339,0.595969358,,,,
248,0.985792313,0.997104758,0.964244498,0.980399359,0.749752237,0.738570096,0.504581673,0.599555009,,,,
249,0.986003099,0.996859127,0.965057351,0.980700493,0.749826196,0.737897367,0.505856574,0.60023164,,,,
250,0.98635071,0.997171102,0.965699606,0.981183056,0.748879521,0.737251008,0.502828685,0.59788247,,,,
251,0.985825595,0.9970122,0.964425132,0.980447968,0.749870572,0.737998373,0.505896414,0.600293103,,,,
252,0.986095549,0.996808456,0.965358408,0.980831388,0.749160565,0.735917942,0.505936255,0.599631693,,,,
