,precision_score(train),recall_score(train),accuracy_score(train),f1_score(train),precision_score(test),recall_score(test),accuracy_score(test),f1_score(test)
0,0.9961575408261287,0.9566420664206642,0.9806009889691898,0.976,0.6582914572864321,0.4532871972318339,0.6565349544072948,0.5368852459016393
1,0.9942418426103646,0.955719557195572,0.9794598706732598,0.9746001881467545,0.6647398843930635,0.39792387543252594,0.6474164133738601,0.4978354978354978
2,0.9896226415094339,0.9677121771217713,0.9825028527957398,0.9785447761194029,0.6487804878048781,0.4602076124567474,0.6534954407294833,0.5384615384615384
3,0.9952516619183286,0.966789667896679,0.9844047166222899,0.9808142255498363,0.6748768472906403,0.4740484429065744,0.668693009118541,0.556910569105691
4,0.9942028985507246,0.9492619926199262,0.9767972613160898,0.9712128362435112,0.6431924882629108,0.4740484429065744,0.6534954407294833,0.545816733067729
5,0.9942748091603053,0.9612546125461254,0.9817421072651198,0.9774859287054408,0.6565656565656566,0.44982698961937717,0.6550151975683891,0.5338809034907598
6,0.991321118611379,0.948339483394834,0.9752757702548498,0.9693540782649694,0.6581632653061225,0.4463667820069204,0.6550151975683891,0.5319587628865979
7,0.9961538461538462,0.955719557195572,0.9802206162038798,0.975517890772128,0.6411483253588517,0.46366782006920415,0.6504559270516718,0.538152610441767
8,0.9952426260704091,0.9649446494464945,0.9836439710916698,0.9798594847775176,0.648936170212766,0.42214532871972316,0.6458966565349544,0.5115303983228512
9,0.9922555663117134,0.9455719557195572,0.9745150247242298,0.9683514407179972,0.6702127659574468,0.4359861591695502,0.6580547112462006,0.5283018867924529
10,0.9932821497120922,0.9547970479704797,0.9786991251426398,0.973659454374412,0.6958762886597938,0.4671280276816609,0.6762917933130699,0.5590062111801242
11,0.9952153110047847,0.959409594095941,0.9813617344998098,0.9769844997651479,0.6685393258426966,0.4117647058823529,0.6519756838905775,0.5096359743040684
12,0.9942196531791907,0.9520295202952029,0.9779383796120198,0.9726672950047125,0.6329787234042553,0.4117647058823529,0.6367781155015197,0.4989517819706498
13,0.9913710450623202,0.9538745387453874,0.9775580068467098,0.9722614010343207,0.6861702127659575,0.4463667820069204,0.6671732522796353,0.5408805031446541
14,0.9980676328502416,0.9529520295202952,0.9798402434385698,0.974988201982067,0.6782178217821783,0.4740484429065744,0.6702127659574468,0.5580448065173116
15,0.9971014492753624,0.9520295202952029,0.9790794979079498,0.9740443605474279,0.6577540106951871,0.42560553633217996,0.6504559270516718,0.5168067226890756
