,accuracy_score(train),precision_score(train),recall_score(train),f1_score(train),accuracy_score(test),precision_score(test),recall_score(test),f1_score(test)
131,0.994375,1,0.982725528,0.991287512,0.8925,0.960784314,0.715328467,0.820083682
132,0.994375,1,0.982725528,0.991287512,0.9175,0.964285714,0.788321168,0.86746988
133,0.998125,0.998076923,0.996161228,0.997118156,0.9175,0.972727273,0.781021898,0.866396761
134,0.995625,1,0.986564299,0.993236715,0.9025,0.980392157,0.729927007,0.836820084
135,0.9925,1,0.97696737,0.988349515,0.9,0.961904762,0.737226277,0.834710744
136,0.996875,0.998069498,0.992322457,0.99518768,0.8825,0.95,0.693430657,0.801687764
137,0.99375,1,0.980806142,0.990310078,0.9,0.98019802,0.722627737,0.831932773
138,0.99375,1,0.980806142,0.990310078,0.88,0.923809524,0.708029197,0.801652893
139,0.998125,1,0.994241843,0.997112608,0.9075,0.980769231,0.744525547,0.846473029
140,0.995625,1,0.986564299,0.993236715,0.8875,0.96,0.700729927,0.810126582
141,0.99625,0.998065764,0.990403071,0.994219653,0.9,0.970873786,0.729927007,0.833333333
142,0.996875,0.998069498,0.992322457,0.99518768,0.8925,0.935185185,0.737226277,0.824489796
143,0.994375,1,0.982725528,0.991287512,0.9075,0.980769231,0.744525547,0.846473029
144,0.995,0.996131528,0.988483685,0.992292871,0.9,0.961904762,0.737226277,0.834710744
145,0.998125,1,0.994241843,0.997112608,0.8975,0.944444444,0.744525547,0.832653061
146,0.995625,1,0.986564299,0.993236715,0.8775,0.892857143,0.729927007,0.803212851
147,0.995,1,0.984644914,0.992263056,0.9,0.961904762,0.737226277,0.834710744
148,0.99625,1,0.988483685,0.994208494,0.9,0.944954128,0.751824818,0.837398374
149,0.993125,1,0.978886756,0.989330747,0.8875,0.942307692,0.715328467,0.813278008
150,0.99375,0.996116505,0.984644914,0.99034749,0.885,0.925233645,0.722627737,0.81147541
151,0.995625,0.998062016,0.988483685,0.993249759,0.8775,0.931372549,0.693430657,0.794979079
152,0.995625,1,0.986564299,0.993236715,0.8875,0.96,0.700729927,0.810126582
153,0.9975,1,0.992322457,0.996146435,0.9,0.961904762,0.737226277,0.834710744
154,0.99625,1,0.988483685,0.994208494,0.895,0.961165049,0.722627737,0.825
155,0.9975,0.998073218,0.994241843,0.996153846,0.895,0.935779817,0.744525547,0.829268293
156,0.994375,1,0.982725528,0.991287512,0.9025,0.980392157,0.729927007,0.836820084
157,0.99625,0.996146435,0.992322457,0.994230769,0.905,0.945945946,0.766423358,0.846774194
158,0.99625,1,0.988483685,0.994208494,0.905,0.945945946,0.766423358,0.846774194
159,0.993125,1,0.978886756,0.989330747,0.8975,0.98,0.715328467,0.827004219
160,0.993125,0.998046875,0.980806142,0.989351404,0.8725,0.913461538,0.693430657,0.788381743
