,train_accuracy_score,train_reccall_score,train_precision_score,train_f1_score,test_accuracy_score,test_reccall_score,test_precision_score,test_f1_score
303,0.994349054553358,0.9993211133740665,0.9832999331997327,0.9912457912457912,0.9128231120121643,0.9122807017543859,0.7865546218487395,0.8447653429602887
304,0.9954357748315583,0.9993234100135318,0.9866399465597863,0.9929411764705883,0.8971109984794728,0.8726235741444867,0.7714285714285715,0.8189116859946476
305,0.9926103021082373,0.9979577944179714,0.9792919171676687,0.9885367498314227,0.8935631018753167,0.882703777335984,0.746218487394958,0.808743169398907
306,0.9958704629428385,1.0,0.9873079492317969,0.9936134453781512,0.9072478459199189,0.9186991869918699,0.7596638655462185,0.8316467341306347
307,0.9952184307759183,0.9986477349560514,0.9866399465597863,0.9926075268817205,0.9118094272681196,0.9040307101727447,0.7915966386554621,0.8440860215053764
308,0.9926103021082373,0.9993174061433447,0.9779559118236473,0.988521269412559,0.895590471363406,0.883629191321499,0.7529411764705882,0.8130671506352086
309,0.9936970223864378,0.9979647218453188,0.9826319305277221,0.9902389767754964,0.9031931069437404,0.9089068825910931,0.7546218487394958,0.8246097337006428
310,0.9941317104977179,1.0,0.9819639278557114,0.9908998988877654,0.9072478459199189,0.8961538461538462,0.7831932773109244,0.8358744394618834
311,0.9932623342751575,0.9993188010899182,0.9799599198396793,0.9895446880269814,0.9062341611758743,0.9166666666666666,0.7579831932773109,0.829806807727691
312,0.9904368615518365,0.9993127147766323,0.9712758851035405,0.9850948509485095,0.8945767866193614,0.8957055214723927,0.7361344537815127,0.8081180811808117
313,0.9913062377743969,0.998631074606434,0.9746158984635939,0.9864773495605139,0.8986315255955398,0.8776290630975143,0.7714285714285715,0.8211091234347048
314,0.9945663986089981,1.0,0.9832999331997327,0.9915796564499831,0.9011657374556513,0.8875968992248062,0.7697478991596639,0.8244824482448245
315,0.9921756139969572,0.9986348122866894,0.9772879091516367,0.9878460499662389,0.8925494171312722,0.8837675350701403,0.7411764705882353,0.8062157221206582
316,0.9956531188871984,1.0,0.9866399465597863,0.9932750504371217,0.9067410035478966,0.8959537572254336,0.7815126050420168,0.8348294434470377
317,0.9923929580525973,0.9979564032697548,0.978623914495658,0.9881956155143339,0.9102889001520527,0.9050387596899225,0.7848739495798319,0.8406840684068406
318,0.9932623342751575,0.9979619565217391,0.9812959251837008,0.9895587739979792,0.9052204764318297,0.9,0.7714285714285715,0.8307692307692307
319,0.9947837426646381,0.998645903859174,0.9853039412157648,0.991930060524546,0.8945767866193614,0.8786692759295499,0.7546218487394958,0.8119349005424956
