,Tester,Cols,rows,count,n_estimators,max_features,min_samples_leaf,max_leaf_nodes,max_depth,accuracy(train),precision(train),recall(train),f1(train),accuracy(test),precision(test),recall(test),f1(test)
173,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,10,15,,,0.854,0.883,0.606,0.719,0.792,0.752,0.479,0.585
174,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,10,20,,,0.836,0.856,0.561,0.678,0.789,0.748,0.466,0.574
175,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,10,25,,,0.823,0.833,0.532,0.649,0.784,0.738,0.456,0.564
176,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,10,30,,,0.815,0.818,0.511,0.629,0.782,0.736,0.448,0.557
177,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,10,35,,,0.808,0.804,0.495,0.613,0.779,0.729,0.439,0.548
178,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,10,40,,,0.803,0.793,0.484,0.601,0.778,0.728,0.437,0.546
179,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,10,45,,,0.798,0.783,0.474,0.591,0.776,0.723,0.431,0.541
180,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,10,50,,,0.794,0.776,0.465,0.581,0.774,0.722,0.426,0.536
181,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,10,55,,,0.791,0.77,0.458,0.574,0.774,0.72,0.425,0.535
182,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,10,60,,,0.789,0.765,0.451,0.567,0.772,0.718,0.419,0.529
183,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,10,65,,,0.786,0.759,0.446,0.562,0.771,0.715,0.416,0.526
184,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,10,70,,,0.784,0.754,0.441,0.557,0.77,0.713,0.415,0.525
185,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,10,75,,,0.782,0.75,0.436,0.551,0.769,0.71,0.412,0.521
186,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,10,80,,,0.78,0.746,0.432,0.547,0.768,0.708,0.408,0.518
187,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,10,85,,,0.779,0.743,0.429,0.544,0.767,0.707,0.407,0.516
188,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,10,90,,,0.778,0.741,0.427,0.542,0.767,0.705,0.406,0.515
189,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,10,95,,,0.777,0.738,0.423,0.538,0.766,0.706,0.403,0.513
190,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,11,5,,,0.945,0.977,0.84,0.903,0.808,0.771,0.527,0.626
191,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,11,10,,,0.886,0.925,0.685,0.787,0.799,0.761,0.5,0.604
192,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,11,15,,,0.856,0.885,0.611,0.723,0.793,0.752,0.483,0.588
193,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,11,20,,,0.838,0.857,0.566,0.682,0.79,0.749,0.472,0.579
194,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,11,25,,,0.825,0.835,0.538,0.655,0.785,0.739,0.46,0.567
195,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,11,30,,,0.816,0.818,0.516,0.633,0.783,0.736,0.452,0.56
196,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,11,35,,,0.809,0.804,0.499,0.616,0.78,0.731,0.444,0.552
197,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,11,40,,,0.804,0.794,0.487,0.604,0.779,0.73,0.439,0.548
198,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,11,45,,,0.799,0.786,0.476,0.593,0.777,0.726,0.432,0.542
199,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,11,50,,,0.795,0.779,0.467,0.583,0.775,0.722,0.427,0.537
200,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,11,55,,,0.792,0.772,0.459,0.575,0.774,0.72,0.424,0.534
201,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,11,60,,,0.79,0.767,0.455,0.571,0.773,0.719,0.422,0.532
202,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,11,65,,,0.787,0.76,0.449,0.564,0.771,0.715,0.42,0.529
203,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,11,70,,,0.785,0.755,0.445,0.56,0.771,0.714,0.419,0.528
204,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,11,75,,,0.783,0.752,0.439,0.555,0.77,0.712,0.414,0.523
205,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,11,80,,,0.782,0.749,0.435,0.551,0.769,0.712,0.412,0.522
206,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,11,85,,,0.78,0.744,0.431,0.546,0.768,0.708,0.409,0.519
207,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,11,90,,,0.779,0.741,0.429,0.544,0.767,0.706,0.408,0.518
208,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,11,95,,,0.777,0.739,0.425,0.54,0.767,0.706,0.405,0.515
209,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,12,5,,,0.946,0.977,0.843,0.905,0.808,0.772,0.529,0.628
210,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,12,10,,,0.888,0.927,0.691,0.791,0.801,0.763,0.505,0.608
211,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,12,15,,,0.858,0.887,0.615,0.726,0.794,0.752,0.485,0.59
212,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,12,20,,,0.839,0.857,0.571,0.686,0.791,0.747,0.476,0.581
213,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,12,25,,,0.826,0.836,0.54,0.656,0.786,0.741,0.462,0.569
214,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,12,30,,,0.817,0.818,0.519,0.635,0.784,0.738,0.455,0.563
215,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,12,35,,,0.81,0.807,0.502,0.619,0.781,0.733,0.447,0.555
216,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,12,40,,,0.804,0.795,0.489,0.606,0.779,0.728,0.44,0.549
217,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,12,45,,,0.8,0.786,0.481,0.597,0.777,0.725,0.436,0.545
218,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,12,50,,,0.796,0.778,0.471,0.587,0.775,0.722,0.431,0.54
219,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,12,55,,,0.793,0.773,0.463,0.579,0.775,0.723,0.427,0.537
220,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,12,60,,,0.791,0.767,0.458,0.573,0.774,0.718,0.427,0.535
221,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,12,65,,,0.788,0.761,0.452,0.567,0.772,0.716,0.423,0.532
222,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,12,70,,,0.786,0.757,0.446,0.561,0.771,0.714,0.42,0.529
223,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,12,75,,,0.784,0.752,0.444,0.559,0.77,0.711,0.417,0.526
224,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,12,80,,,0.782,0.75,0.438,0.553,0.769,0.711,0.413,0.522
225,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,12,85,,,0.781,0.745,0.435,0.549,0.768,0.707,0.411,0.52
226,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,12,90,,,0.78,0.743,0.432,0.547,0.768,0.707,0.411,0.52
227,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,12,95,,,0.778,0.739,0.427,0.541,0.767,0.705,0.407,0.516
228,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,13,5,,,0.947,0.977,0.846,0.907,0.809,0.773,0.532,0.63
229,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,13,10,,,0.889,0.927,0.694,0.794,0.8,0.763,0.503,0.606
230,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,13,15,,,0.859,0.888,0.619,0.73,0.794,0.751,0.487,0.591
231,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,13,20,,,0.84,0.858,0.574,0.688,0.79,0.746,0.474,0.58
232,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,13,25,,,0.828,0.838,0.544,0.66,0.788,0.744,0.465,0.572
233,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,13,30,,,0.818,0.82,0.523,0.638,0.784,0.737,0.458,0.565
234,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,13,35,,,0.81,0.806,0.504,0.62,0.782,0.734,0.451,0.558
235,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,13,40,,,0.806,0.797,0.494,0.61,0.779,0.729,0.443,0.551
236,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,13,45,,,0.801,0.787,0.483,0.598,0.778,0.726,0.441,0.549
237,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,13,50,,,0.797,0.781,0.473,0.589,0.776,0.724,0.433,0.542
238,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,13,55,,,0.794,0.774,0.466,0.581,0.775,0.72,0.43,0.538
239,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,13,60,,,0.791,0.767,0.46,0.575,0.773,0.717,0.426,0.534
240,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,13,65,,,0.788,0.762,0.453,0.568,0.772,0.715,0.422,0.531
241,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,13,70,,,0.787,0.758,0.45,0.564,0.772,0.715,0.421,0.53
242,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,13,75,,,0.785,0.753,0.445,0.559,0.77,0.712,0.418,0.527
243,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,13,80,,,0.783,0.75,0.439,0.554,0.769,0.709,0.414,0.523
244,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,13,85,,,0.781,0.747,0.437,0.551,0.769,0.708,0.413,0.522
245,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,13,90,,,0.78,0.744,0.433,0.548,0.768,0.706,0.412,0.52
246,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,13,95,,,0.779,0.742,0.43,0.544,0.767,0.706,0.408,0.517
247,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,14,5,,,0.948,0.978,0.849,0.909,0.808,0.771,0.532,0.629
248,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,14,10,,,0.89,0.927,0.698,0.796,0.801,0.762,0.507,0.609
249,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,14,15,,,0.86,0.888,0.622,0.731,0.795,0.752,0.491,0.594
250,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,14,20,,,0.842,0.86,0.578,0.692,0.791,0.748,0.478,0.583
251,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,14,25,,,0.828,0.838,0.547,0.662,0.787,0.741,0.467,0.573
252,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,14,30,,,0.819,0.822,0.524,0.64,0.785,0.738,0.459,0.566
253,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,14,35,,,0.812,0.808,0.51,0.625,0.782,0.733,0.453,0.56
254,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,14,40,,,0.806,0.797,0.495,0.611,0.78,0.729,0.445,0.552
255,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,14,45,,,0.802,0.789,0.484,0.6,0.778,0.727,0.44,0.548
256,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,14,50,,,0.798,0.781,0.475,0.591,0.776,0.722,0.436,0.543
257,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,14,55,,,0.794,0.774,0.467,0.583,0.776,0.722,0.431,0.54
258,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,14,60,,,0.792,0.768,0.461,0.576,0.774,0.72,0.429,0.537
259,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,14,65,,,0.789,0.763,0.457,0.571,0.773,0.717,0.426,0.535
260,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,14,70,,,0.787,0.758,0.451,0.566,0.772,0.715,0.423,0.532
261,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,14,75,,,0.785,0.754,0.447,0.561,0.771,0.712,0.42,0.528
262,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,14,80,,,0.784,0.751,0.443,0.558,0.77,0.711,0.419,0.528
263,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,14,85,,,0.782,0.748,0.438,0.553,0.77,0.71,0.417,0.525
264,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,14,90,,,0.781,0.745,0.436,0.55,0.768,0.707,0.414,0.523
265,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,14,95,,,0.779,0.741,0.431,0.545,0.768,0.708,0.411,0.52
266,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,15,5,,,0.948,0.977,0.851,0.91,0.809,0.77,0.533,0.63
267,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,15,10,,,0.892,0.928,0.702,0.799,0.801,0.762,0.508,0.61
268,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,15,15,,,0.861,0.889,0.626,0.734,0.797,0.756,0.494,0.598
269,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,15,20,,,0.842,0.861,0.58,0.693,0.791,0.748,0.479,0.584
270,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,15,25,,,0.829,0.838,0.549,0.664,0.789,0.744,0.47,0.576
271,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,15,30,,,0.82,0.822,0.527,0.642,0.785,0.738,0.461,0.567
272,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,15,35,,,0.812,0.808,0.51,0.625,0.782,0.731,0.453,0.56
273,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,15,40,,,0.807,0.797,0.497,0.612,0.78,0.729,0.448,0.555
274,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,15,45,,,0.802,0.789,0.487,0.602,0.778,0.727,0.439,0.548
275,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,15,50,,,0.799,0.781,0.479,0.594,0.776,0.722,0.437,0.544
276,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,15,55,,,0.795,0.775,0.47,0.585,0.775,0.72,0.431,0.539
277,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,15,60,,,0.792,0.768,0.463,0.578,0.774,0.718,0.43,0.538
278,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,15,65,,,0.79,0.764,0.457,0.572,0.773,0.715,0.427,0.535
279,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,15,70,,,0.788,0.759,0.452,0.567,0.772,0.716,0.423,0.532
280,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,15,75,,,0.785,0.753,0.448,0.562,0.771,0.712,0.422,0.53
281,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,15,80,,,0.784,0.752,0.443,0.558,0.77,0.711,0.417,0.526
282,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,15,85,,,0.782,0.747,0.44,0.554,0.769,0.709,0.417,0.525
283,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,15,90,,,0.781,0.745,0.437,0.551,0.769,0.707,0.416,0.524
284,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,15,95,,,0.78,0.742,0.434,0.547,0.768,0.706,0.413,0.521
285,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,16,5,,,0.949,0.978,0.854,0.912,0.811,0.773,0.538,0.635
286,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,16,10,,,0.892,0.929,0.703,0.8,0.802,0.763,0.512,0.613
287,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,16,15,,,0.862,0.889,0.628,0.736,0.796,0.754,0.493,0.596
288,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,16,20,,,0.843,0.862,0.581,0.694,0.792,0.748,0.482,0.587
289,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,16,25,,,0.83,0.841,0.552,0.666,0.788,0.744,0.47,0.576
290,LSJ,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",338022,1,100,16,30,,,0.821,0.823,0.53,0.645,0.786,0.738,0.464,0.57
