,cols,n_estimators,min_samples_leaf,max_features,max_leaf_nodes,ac(train),ac(test),pr(train),pr(test),re(train),re(test),f1(train),f1(test)
0,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,15,100,0.7537654807205169,0.7490126469935655,0.6876698447791442,0.6793128789270623,0.36026253559191157,0.3543024147182829,0.47281997688154154,0.4657094275458153
1,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,15,200,0.7633247909709818,0.7562310479994083,0.7094805972798474,0.6932078127749428,0.3858042565513247,0.37749137600613264,0.49981634168262273,0.4888020348656865
2,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,15,300,0.770609835920079,0.7618223504178685,0.7223845579609683,0.7029787234042553,0.40863134018628444,0.39574549635875816,0.5219890728910603,0.5064067193918215
3,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,15,400,0.775986716811443,0.7652540492567118,0.7369505640415542,0.7120929443690638,0.41852468510207036,0.40230931391337676,0.5338617213650879,0.5141440117560617
4,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,15,500,0.7811971880466095,0.768685748095555,0.7479923038313535,0.7183016349683017,0.4315187490951209,0.4125622844001533,0.5472991583779648,0.5241022519780889
5,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,15,600,0.7852982615737916,0.7714222320834258,0.7549239079090592,0.7235376619090834,0.4434872834322668,0.4201801456496742,0.5587383621508646,0.5316279210741672
6,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,15,700,0.7891034957121779,0.7727387027586717,0.7621790451466353,0.723285227825523,0.4534047584576034,0.427414718282867,0.568575535214464,0.5373125338794194
7,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,15,800,0.7924316888361309,0.77476518009023,0.7711297579958653,0.7303141574867401,0.45902707398291587,0.42880413951705637,0.575486681490221,0.5403447339028588
8,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,15,900,0.7953715927622893,0.7759189409067376,0.7754183912182833,0.7316816452109141,0.46789488924279715,0.4329724032196244,0.5836249125262422,0.544020708545285
9,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,15,1000,0.7991879208777555,0.7764662377043118,0.783795055108728,0.7325581395348837,0.4761835818734617,0.4346492909160598,0.5924391506991197,0.545585758960789
10,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,15,1100,0.8017876095067987,0.7783447969824717,0.7887398935121278,0.7355742296918768,0.4825659958496212,0.4403507090839402,0.5987843765438567,0.5509035873767495
11,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,15,1200,0.8047718893412766,0.7792766807188818,0.7952355723003866,0.7376957494407159,0.4889484098257806,0.4423629743196627,0.6055661399379879,0.5530729603450342
12,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,15,1300,0.8071718863828827,0.7807262776421863,0.7987598647125141,0.7405727923627685,0.4957892958834033,0.4460042161747796,0.6118216332911487,0.5567250762514203
13,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,15,1400,0.8092464600968134,0.7807114858368464,0.8030282494626987,0.7389929649830053,0.5003860817528112,0.4479206592564201,0.6165716451970178,0.5577663096978195
14,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,15,1500,0.8122085519771316,0.7818208712373346,0.8087918430165448,0.7403423366834171,0.5072269678104339,0.45175354541970103,0.6234577055403964,0.5611164008569388
15,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,15,1600,0.8144125554236605,0.7826048369203461,0.812672123623011,0.7413806582753498,0.5126803725688914,0.45434074357991566,0.6287248838516852,0.5634078959094554
16,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,15,1700,0.8172932914720599,0.7834627616300569,0.8167231168044807,0.7431536240930015,0.520763959268375,0.4563530088156382,0.6359986149278362,0.5654664727359078
17,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,15,1800,0.8189684820111162,0.7830633828858812,0.8209299685974802,0.7417419756933624,0.5235751170310313,0.45616136450747413,0.6393705891886317,0.5649104070250386
18,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,15,1900,0.8212982171978833,0.7847792323053029,0.8237288770654577,0.7438666872396236,0.5304883934173061,0.46195860482943657,0.6453596747442427,0.5699592126263522
19,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,15,2000,0.8234356567819331,0.7852081946601582,0.8278654872541336,0.7456106427411247,0.5352299599440181,0.4618627826753545,0.6501355609291418,0.5703973255229136
20,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,15,2100,0.8256877341291413,0.7856371570150137,0.8321779694091846,0.7462559827080438,0.5402369576757878,0.46315638175546187,0.6551565209121303,0.5715721634245846
21,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,15,2200,0.8276772540187932,0.7872198801863768,0.835692478490147,0.749174156871783,0.5449181989286231,0.4672288233039479,0.6596849462130009,0.5755259818820266
22,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,15,2300,0.8296519819390054,0.786539457140744,0.8389520004418831,0.7481698389458272,0.549756285893538,0.4651686469911844,0.6642419294882541,0.573665396318946
23,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,15,2400,0.8307280977157501,0.7857850750684121,0.8411598146649997,0.7456936327283913,0.5519641909174268,0.4645937140666922,0.6665452532198847,0.5724997048057623
