,cols,n_estimators,min_samples_leaf,max_features,max_leaf_nodes,ac(train),ac(test),pr(train),pr(test),re(train),re(test),f1(train),f1(test)
0,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,12,100,0.7538838164760352,0.7515420457066785,0.6901106005680113,0.6791628753412193,0.36000529986388985,0.35997106341933927,0.47317343465526795,0.4705437352245862
1,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,12,200,0.7632804150626625,0.7582575253309667,0.7078922040423484,0.6914225941422594,0.3898049890991436,0.3825415963346998,0.5027614438739445,0.4925637283820287
2,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,12,300,0.7688680815185436,0.7624583980474817,0.7204400421134054,0.6999315888489824,0.4038737186976789,0.39474318784663615,0.5175900341149412,0.5047950908137778
3,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,12,400,0.7741414186238291,0.7651948820353525,0.7316975315159322,0.7047426501558419,0.4173763264716156,0.4034723896792862,0.5315467333445827,0.5131570876525794
4,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,12,500,0.7792076681569576,0.7686709562902152,0.7448488794606288,0.7133645955451349,0.42715698437744665,0.41085121774776945,0.5429450670586073,0.5214064938641858
5,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,12,600,0.7831904059286213,0.7708009762591524,0.753407579787234,0.7174273858921162,0.43675696510521433,0.4169278996865204,0.5529588483328123,0.5273753240811347
6,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,12,700,0.7867108946552916,0.7725759928999334,0.760751471253961,0.720249835634451,0.44532106334541866,0.42266698818422954,0.5617881916744544,0.5327173813937939
7,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,12,800,0.7898209062300078,0.7744545521780933,0.7677129127901032,0.7244538983882843,0.452234976692644,0.4270557029177719,0.5691827236481056,0.5373505673887978
8,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,12,900,0.7928347700033652,0.7761556097921751,0.7734897289412909,0.7279459635416666,0.4598956890425314,0.4313961900168797,0.576826329664685,0.5417436332253278
9,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,12,1000,0.7961000972571991,0.7773537460247023,0.7814020144117232,0.7305476673427992,0.46630370629117934,0.434241620448517,0.584065055369482,0.5447065940713853
10,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,12,1100,0.797801173742775,0.7777383329635382,0.7838216739099958,0.7308905605435574,0.47141084785777093,0.435784904750422,0.5887387929478308,0.5460148649465223
11,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,12,1200,0.8008076415314126,0.7789068855853857,0.7906647525621087,0.7324871465295629,0.4776502330735597,0.4397395707740535,0.5955321944809461,0.5495585088750263
12,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,12,1300,0.8043577141969624,0.780933362916944,0.7971309049291606,0.7369052379048381,0.486587730815095,0.444417651314203,0.6042977135206695,0.5544524669073406
13,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,12,1400,0.8059404549270202,0.7812587826344205,0.7999685732243872,0.7356740905128002,0.4905746738776936,0.44764890282131664,0.6081846893596052,0.5566082993523627
14,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,12,1500,0.8092575540738933,0.782057540122772,0.8064484687810679,0.7372499406973986,0.4983076570988063,0.4496744634675669,0.6159916617033948,0.5586244083637889
15,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,12,1600,0.8107404490102323,0.782619628725686,0.8090496156533893,0.7389790265136525,0.502029606966912,0.45030142271521584,0.619591636501483,0.5596044351213665
16,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,12,1700,0.8122085519771316,0.7831817173286,0.8128117055752848,0.7401406781000553,0.5045109068789825,0.4516517964793827,0.622584576966526,0.5609799928117887
17,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,12,1800,0.8155219531316449,0.78504548480142,0.8190905413994337,0.7433885270344502,0.5122559352452993,0.45686038099831205,0.6303152465503699,0.5659238903160284
18,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,12,1900,0.8172637075331802,0.784483396198506,0.8221310532571604,0.7416320451516815,0.5165440069380036,0.4562816493850977,0.6344584748082229,0.5649707392810224
19,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,12,2000,0.819475106964429,0.7852969454921973,0.8236808236808236,0.7411974561811695,0.524204719287891,0.4609115022908126,0.6406736494991057,0.5683784828570578
20,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,12,2100,0.8215422846936398,0.7862288292286074,0.8296258367942956,0.744684165433445,0.5269389672492502,0.46110441282855075,0.6445135246626201,0.5695478644188956
21,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,12,2200,0.8232100792479763,0.7865098735300643,0.8322953232929453,0.7453285580815945,0.5311909035063418,0.4616831444417651,0.6484960332924041,0.5701777896899848
22,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,12,2300,0.8250368874737904,0.7872642556023963,0.8355636582340338,0.7459924107488577,0.5354910203442502,0.464576802507837,0.6526899953753661,0.5725748930099857
23,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,12,2400,0.8267601519135261,0.7868796686635604,0.8379610598303374,0.745594286157907,0.540176581828694,0.4631782011092356,0.6568965643515772,0.571394574012375
24,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,12,2500,0.8284242484755027,0.7876044671252126,0.8421652528121379,0.7473235065942592,0.5428867394996447,0.464576802507837,0.6601923260020947,0.5729665427509294
