,cols,n_estimators,min_samples_leaf,max_features,ac(train),ac(test),pr(train),pr(test),re(train),re(test),f1(train),f1(test)
0,all,50,1,auto,0.99987057,0.775785815,0.99994989,0.766287487,0.999699417,0.564446939,0.999824638,0.650060024
1,all,50,2,auto,0.993410178,0.773596627,0.997079108,0.757219879,0.98503096,0.568696628,0.991018417,0.64955582
2,all,50,3,auto,0.972753192,0.772487242,0.987542194,0.758097603,0.938009739,0.563003648,0.962138886,0.646145352
3,all,50,4,auto,0.948368631,0.770224096,0.973606391,0.756445898,0.884075106,0.556348475,0.92668326,0.641147662
4,all,50,5,auto,0.926202864,0.767176984,0.958475919,0.752649207,0.836282388,0.549573027,0.893219468,0.635276671
5,all,50,6,auto,0.907553889,0.765313216,0.943858358,0.751733319,0.796926037,0.543358858,0.864191226,0.630782835
6,all,50,7,auto,0.891493508,0.762916944,0.9298997,0.750519867,0.763571328,0.535380668,0.838567342,0.624953201
7,all,50,8,auto,0.878691059,0.760683381,0.917374729,0.744313113,0.737771276,0.535220302,0.817828424,0.622682432
8,all,50,9,auto,0.866232522,0.759248576,0.905372864,0.746347564,0.711981244,0.526360101,0.797114861,0.617341421
9,all,50,10,auto,0.85566366,0.75805044,0.89468899,0.74492241,0.690168928,0.52347352,0.779232679,0.614866615
10,all,50,11,auto,0.847539171,0.756231048,0.884753823,0.742534533,0.674819149,0.519384196,0.765656795,0.611229063
11,all,50,12,auto,0.839976777,0.754589158,0.87654025,0.737569689,0.659289021,0.51978511,0.752548964,0.609816326
12,all,50,13,auto,0.831978019,0.753657274,0.867027596,0.73801183,0.64343827,0.515214689,0.738684335,0.606808953
13,all,50,14,auto,0.827111461,0.752976851,0.860489767,0.738719954,0.634430796,0.511325823,0.730368183,0.604340409
14,all,50,15,auto,0.820884042,0.751408919,0.853973154,0.735132636,0.620864477,0.509962715,0.718996565,0.602187189
15,all,50,16,auto,0.816609163,0.750136824,0.846896761,0.73342998,0.614141434,0.507076134,0.711979185,0.599601782
16,all,50,17,auto,0.8121198,0.749323275,0.841511012,0.732550023,0.604873455,0.504911198,0.70383454,0.597792809
17,all,50,18,auto,0.807844921,0.749175357,0.835032632,0.73280084,0.597388935,0.503908912,0.696497827,0.597173061
18,all,50,19,auto,0.80447605,0.748125139,0.830555986,0.731690182,0.590766086,0.501062422,0.690433673,0.59480297
19,all,50,20,auto,0.800852017,0.746557207,0.824825051,0.729123878,0.584574074,0.49813575,0.684222562,0.591892149
20,all,50,21,auto,0.798045241,0.746098661,0.820279502,0.727480112,0.579864938,0.498616846,0.679431792,0.59168867
21,all,50,22,auto,0.795171901,0.745891576,0.816861419,0.728999528,0.573642867,0.495449625,0.673980988,0.589951068
22,all,50,23,auto,0.792272675,0.74436802,0.813055145,0.72637551,0.56771136,0.492763501,0.668586094,0.587187082
23,all,50,24,auto,0.791233539,0.745285112,0.810713569,0.727106981,0.566669339,0.495650082,0.667071617,0.589472179
24,all,50,25,auto,0.788241863,0.744678648,0.80697906,0.72741267,0.560266918,0.492563044,0.661364053,0.587383166
25,all,50,26,auto,0.785361127,0.741986539,0.802664,0.722340804,0.554866441,0.488433629,0.656149289,0.582793179
26,all,50,27,auto,0.784026152,0.742371126,0.800574971,0.724174908,0.552451756,0.487351161,0.653762472,0.582616406
27,all,50,28,auto,0.781877619,0.740921529,0.797137949,0.721387697,0.548634351,0.485186225,0.649942433,0.58016731
28,all,50,29,auto,0.780387328,0.740684861,0.795343943,0.721068957,0.545287858,0.484624945,0.646995536,0.579662886
29,all,50,30,auto,0.778778701,0.740832779,0.793129234,0.721499343,0.541981444,0.484624945,0.643933622,0.579801904
30,all,50,31,auto,0.776641261,0.739383182,0.789188634,0.718862061,0.538735146,0.48221946,0.64034346,0.577228554
31,all,50,32,auto,0.775095501,0.739279639,0.786912752,0.719373988,0.535699257,0.480976627,0.637448584,0.576501682
32,all,50,33,auto,0.774037875,0.739989646,0.785110207,0.721131328,0.533905777,0.481457724,0.635587257,0.57741129
33,all,50,34,auto,0.772636336,0.738525257,0.782880848,0.71751886,0.531330782,0.480455438,0.63303152,0.575531276
34,all,50,35,auto,0.771297662,0.738111086,0.781965387,0.717540274,0.527403162,0.478571142,0.629938787,0.574184083
35,all,50,36,auto,0.769600284,0.737711708,0.77813047,0.71776288,0.525619702,0.476446298,0.627421901,0.572722892
36,all,50,37,auto,0.768357759,0.738096295,0.775966022,0.717732716,0.523535659,0.47821032,0.625233332,0.573985852
37,all,50,38,auto,0.767699516,0.737445455,0.775020076,0.716695788,0.522183035,0.476887303,0.623961401,0.572701011
38,all,50,39,auto,0.766401521,0.736513571,0.773741389,0.714474792,0.518786446,0.476125566,0.621118608,0.571442319
39,all,50,40,auto,0.76454143,0.735655647,0.77014055,0.713294728,0.516071178,0.474080904,0.618012311,0.569591291
40,all,50,41,auto,0.764815082,0.734753347,0.770426911,0.711953564,0.516772539,0.472076334,0.618607273,0.567716118
41,all,50,42,auto,0.763480107,0.735714814,0.769936294,0.714971442,0.512223714,0.471755603,0.615180049,0.568440376
42,all,50,43,auto,0.762100755,0.734250425,0.766577492,0.711770776,0.51104142,0.470071764,0.61325462,0.566206297
43,all,50,44,auto,0.76089521,0.734575845,0.765660902,0.71376214,0.50748452,0.468468107,0.610395401,0.565667812
44,all,50,45,auto,0.760440357,0.734901265,0.762985989,0.713054561,0.509067591,0.471033957,0.610684087,0.567310478
45,all,50,46,auto,0.76087672,0.734605429,0.763792767,0.711984497,0.509758932,0.471354689,0.611439937,0.567203782
46,all,50,47,auto,0.758443441,0.733155832,0.760158124,0.709245226,0.504789291,0.469029387,0.606696652,0.564650804
47,all,50,48,auto,0.758657925,0.732623327,0.759343514,0.707224335,0.506682965,0.469791124,0.607801542,0.564559645
48,all,50,49,auto,0.757733427,0.733865838,0.759014487,0.711366539,0.503436667,0.468949204,0.60535526,0.565263616
49,all,50,50,auto,0.756228344,0.732475409,0.756821076,0.709963868,0.500260505,0.464779698,0.602359782,0.56178523
50,all,50,51,auto,0.755651457,0.731824569,0.75535233,0.708055946,0.499849708,0.464779698,0.601596604,0.561186949
51,all,50,52,auto,0.755891826,0.732386658,0.756321769,0.709960159,0.499559145,0.464378784,0.601693126,0.561491105
52,all,50,53,auto,0.756058236,0.733688337,0.756791622,0.711981426,0.499619261,0.467185182,0.60188538,0.564173324
53,all,50,54,auto,0.753817253,0.731765402,0.752315588,0.709006078,0.496423061,0.463015676,0.598150473,0.560195964
54,all,50,55,auto,0.753436359,0.731484358,0.751384737,0.707670663,0.496102439,0.463817504,0.597623459,0.560364244
55,all,50,56,auto,0.75302958,0.730966644,0.751442974,0.706537027,0.494379095,0.463216133,0.596389656,0.559569934
56,all,50,57,auto,0.753173802,0.730818726,0.751529261,0.706635623,0.494850009,0.462374213,0.596759382,0.558986041
57,all,50,58,auto,0.75212727,0.730670808,0.749486215,0.705824827,0.493286977,0.462975584,0.5949787,0.559171025
58,all,50,59,auto,0.751676115,0.730729976,0.749331908,0.707264563,0.491653808,0.460971014,0.593740736,0.55815534
59,all,50,60,auto,0.750481664,0.731099771,0.746523118,0.707561065,0.490491554,0.462213848,0.592011223,0.559158038
60,all,50,61,auto,0.750588905,0.729901634,0.746755524,0.704811523,0.490621806,0.461011105,0.592179176,0.557419167
61,all,50,62,auto,0.750418798,0.730301013,0.746909335,0.706081081,0.489720057,0.46085074,0.591570093,0.557698372
62,all,50,63,auto,0.748847151,0.729221211,0.744120889,0.704102343,0.486974731,0.458966443,0.588691997,0.55570118
63,all,50,64,auto,0.748373808,0.728747874,0.743536267,0.703393484,0.485802457,0.457883975,0.587652106,0.554686741
64,all,50,65,auto,0.748824963,0.730079136,0.744802064,0.706215733,0.485972787,0.459607906,0.588171808,0.556829221
65,all,50,66,auto,0.747334672,0.728052659,0.74069883,0.701338573,0.485321524,0.457924067,0.586412915,0.554076014
66,all,50,67,auto,0.746824349,0.728008283,0.742072012,0.703508227,0.481343807,0.454235657,0.58392537,0.55203664
67,all,50,68,auto,0.746802161,0.728200577,0.74059856,0.702067438,0.483237481,0.45744297,0.584857727,0.553950722
68,all,50,69,auto,0.746669033,0.728215369,0.740506815,0.70316076,0.482806645,0.455759131,0.584513492,0.553052785
