,cols,n_estimators,min_samples_leaf,max_features,max_leaf_nodes,ac(train),ac(test),pr(train),pr(test),re(train),re(test),f1(train),f1(test)
0,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,10,100,0.7531220300498859,0.7505953701649286,0.6860588452315071,0.6837701149425287,0.35891095080701585,0.3565058970179308,0.4712749275339363,0.46866038508807867
1,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,10,200,0.7619935137214007,0.757103764514459,0.7086043528167271,0.699487456164014,0.3797920335834399,0.3729504266947934,0.49452991855743783,0.48650677006785703
2,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,10,300,0.7680323352451954,0.7609940093188373,0.7201484392054137,0.7045256744995648,0.3979589374894449,0.38810048902099914,0.5126332473505921,0.5004946209966614
3,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,10,400,0.7736680756017558,0.7652688410620516,0.7338421075324452,0.7141017938374389,0.4106251055514005,0.39888771694313935,0.526592617802667,0.5118582546371775
4,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,10,500,0.7782905660516906,0.7673249020042896,0.7445638270657458,0.7182499148791284,0.42131293879225074,0.40454501869786175,0.5381261266813553,0.5175734527387597
5,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,10,600,0.7819109005720795,0.7695880482212855,0.7522405685244934,0.7219840269020597,0.43031194962484015,0.4117365039792885,0.5474566256647151,0.5244099777119654
6,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,10,700,0.7854018053598701,0.7711411877819688,0.7592959479468624,0.7249415302372202,0.43920239330261285,0.4160993383833541,0.556504061933985,0.528723728297289
7,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,10,800,0.7886412466671844,0.7724576584572147,0.7653425137603331,0.7258849740077564,0.4478515766363483,0.4217566401380765,0.5650536120602403,0.5335233647693848
8,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,10,900,0.791144787494869,0.774114340655277,0.7712971329992606,0.7305819232356583,0.4530386740331492,0.42434557483939017,0.5708032525267878,0.5368634943741849
9,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,10,1000,0.7949943975415746,0.775889357296058,0.7787296238403605,0.733989339893399,0.46274940288064853,0.42913989836034133,0.5805280003631988,0.5416149819986082
10,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,10,1100,0.797656952040737,0.7763922786776126,0.7856085943042465,0.7348441462816002,0.4675384207097879,0.43062613865183624,0.5862076788698736,0.5430307427224086
11,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,10,1200,0.8000643450670631,0.7769691590858664,0.7891179655850147,0.7343876723438767,0.47464353784168495,0.4341259948221306,0.5927538415185297,0.5456791611425816
12,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,10,1300,0.8027490875203852,0.7769691590858664,0.7951196134030912,0.7349211510323524,0.48032521894376223,0.4334547895291974,0.598874984959692,0.5452955367913148
13,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,10,1400,0.8051231986154717,0.7784631314251904,0.7989270301302609,0.7365837959610588,0.4868271852155661,0.4389203183430818,0.6049980511498215,0.5500645897797939
14,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,10,1500,0.8070683425968042,0.7790548036387841,0.8036886218075433,0.7388463089955627,0.49044609037612485,0.4390641480487103,0.6091575146457306,0.5508074459447269
15,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,10,1600,0.8096199573251681,0.779809185711116,0.8085566119273985,0.7385746244806648,0.49653791406306547,0.44318726627672833,0.6152489424988417,0.5539641637202614
16,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,10,1700,0.8120865182292534,0.7808298202795652,0.8129255018239276,0.7403899721448468,0.5027021158532172,0.44601591715408956,0.6212386610117695,0.556682524010412
17,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,10,1800,0.8130036203345203,0.7809185711116041,0.8143021017634593,0.7405138811550394,0.5052232864484065,0.44630357656534664,0.6235641810155512,0.5569415776720811
18,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,10,1900,0.8164094712980323,0.7821019155387915,0.8216482878699942,0.7429999206789879,0.5123284035803035,0.4490842842074983,0.6311261033673136,0.5598087554161064
19,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,10,2000,0.8178849702496515,0.7833000517713187,0.8236108706941319,0.7449108410919993,0.5165625226181573,0.4526320836130022,0.6349126331630724,0.563103900751521
20,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,10,2100,0.8195860467352274,0.7832852599659789,0.8268276324614353,0.7448134416660093,0.5204950662259644,0.45268002684821174,0.6388368632618464,0.5631131653496347
21,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,10,2200,0.8215385867012799,0.7829598402485023,0.8313151602104256,0.7429491711839108,0.5242225385413399,0.4533991753763544,0.6429834360412212,0.5631345461041475
22,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,10,2300,0.8229290318286202,0.7842467273130685,0.8313241611627334,0.7450382872323801,0.5299042196434172,0.4571387477226963,0.6472421338008972,0.5666151652008556
23,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,10,2400,0.824933343687712,0.7836550550994749,0.8357918594768156,0.7433614495470166,0.5338005741996188,0.45632371272413463,0.6515021016909227,0.5655041292852474
24,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,10,2500,0.8271373471342408,0.7858294504844316,0.8395859555522158,0.7480749786108735,0.5391203647856402,0.4611180362450858,0.6566124778702555,0.5705472341687676
25,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,10,2600,0.8288162356656571,0.7863471636713261,0.8418339714259034,0.7494167055529631,0.5437525633911554,0.46198101447885703,0.6607301217358165,0.5715980543362201
26,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,10,2700,0.8300513651138797,0.7860365357591894,0.8446696150329359,0.7476179409714153,0.5460324736423074,0.46270016300699973,0.6632866133770983,0.5716231823970149
27,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,10,2800,0.8318818713320538,0.7865986243621034,0.8472083101465405,0.7498251884080491,0.5509541846606674,0.46270016300699973,0.6676948716449331,0.5722671884728275
28,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,10,2900,0.8328396513532803,0.7864654981140449,0.8486210532156928,0.7475331483194573,0.553439166204251,0.4649055518266373,0.6699571410839582,0.5732781554832989
29,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,10,3000,0.8348587551818117,0.7866873751941424,0.85329169823174,0.7471017274472169,0.5570821973992135,0.4665356218237607,0.674081696698998,0.5743883363338548
30,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,10,3100,0.8370553626436208,0.788403224613564,0.8569065343258891,0.7537365445674902,0.5623778619508312,0.4666315082941797,0.6790820302542552,0.5764117141926505
31,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,10,3200,0.8383237740230829,0.7882109311441462,0.8585758740618707,0.7523927138005557,0.5658037588361601,0.46735065682232235,0.6821010994124832,0.5765659194416514
32,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,10,3300,0.8388895668541548,0.7884919754456031,0.8594038415848823,0.7538116244872688,0.5672513209003835,0.4669671109406463,0.6834138720342985,0.5766896592557506
33,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,10,3400,0.8401283942947374,0.7882848901708454,0.8616388899019,0.753505306375397,0.570025814856812,0.46634384888292263,0.6861332946130392,0.5761246187105754
34,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,10,3500,0.8424396395197048,0.7883292655868649,0.8655706171629739,0.7495807287696296,0.5753938575116408,0.47142583181513087,0.6912648092460418,0.5788203437720745
35,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,10,3600,0.8436082051054482,0.788876562384439,0.868264016106506,0.7536790199553124,0.5774566334531593,0.4689807268194458,0.6936123044823266,0.5781836451222035
36,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,10,3700,0.8451465699271865,0.7900303232009467,0.8693170564828319,0.754410080183276,0.5824145335231248,0.4736312206347684,0.6975158375289843,0.5819220687420846
37,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,10,3800,0.8461967997574117,0.7909178315213372,0.8709520987122151,0.7558413882335033,0.5849598301527178,0.47612426886566306,0.6998664982861267,0.5842280201194223
38,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,10,3900,0.8472803115188764,0.79065157902522,0.8722528455866562,0.7540735126942023,0.587927332384376,0.47703519033464375,0.7024082320895845,0.5843831674154993
39,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,10,4000,0.8483527293032612,0.790562828193181,0.8731649087799316,0.7550057099352874,0.5911964100460807,0.4754530635727299,0.7050335908391235,0.5834730679845851
40,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,10,4100,0.8491071197446906,0.7901930330596849,0.8751158480074143,0.7544608815006862,0.592306207628652,0.4743503691629111,0.7064587140123447,0.5824796891557753
41,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,10,4200,0.8506602765358687,0.7921751349752237,0.8772315882874889,0.7581917475728155,0.5962990663224685,0.4792405791542813,0.7099850626220843,0.5872745432113271
42,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,10,4300,0.8521098895409682,0.7910805413800754,0.8800892952056979,0.7552691432903715,0.5992183164853193,0.4776105091571579,0.7129898091000431,0.5851738721804511
43,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,10,4400,0.8534633547447091,0.7934916056504696,0.8825047733540768,0.7600482618203755,0.6021616926825738,0.4832198676766708,0.7158652536174729,0.590814502183534
