,cols,n_estimators,min_samples_leaf,max_features,ac(train),ac(test),pr(train),pr(test),re(train),re(test),f1(train),f1(test)
88,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",98,1,auto,0.9999926040152801,0.8070852747577841,1.0,0.7822297099326107,0.9999759059367772,0.5147002120686331,0.9999879528232559,0.6208720930232559
89,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",99,1,auto,1.0,0.8078248650247762,1.0,0.7778335005015045,1.0,0.5232793522267206,1.0,0.6256555062525211
90,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",100,1,auto,1.0,0.8060054729679758,1.0,0.7796585330109181,1.0,0.5128205128205128,1.0,0.6186945777002472
91,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",101,1,auto,0.9999926040152801,0.8088307077878855,0.9999879529683886,0.7795084309802801,0.9999879529683886,0.5258338153074995,0.9999879529683886,0.628022104536035
92,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",102,1,auto,0.9999926040152801,0.8067598550403077,1.0,0.7824169361952367,0.9999759059367772,0.5130133024869867,0.9999879528232559,0.6197019096413601
93,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",103,1,auto,0.99999630200764,0.8062717254640929,1.0,0.7748401465622531,0.9999879529683886,0.5198091382301908,0.9999939764479113,0.6222055557158104
94,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",104,1,auto,0.9999815100382002,0.8071148583684639,0.9999879525329799,0.7816839643326999,0.9999518118735543,0.5154713707345286,0.9999698818767204,0.6212605286087713
95,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",105,1,auto,1.0,0.8071888173951631,1.0,0.7769081639979896,1.0,0.5214960478118373,1.0,0.6240807498197549
96,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",106,1,auto,1.0,0.8065971451815694,1.0,0.7814127484779579,1.0,0.513447079236553,1.0,0.6197027427939851
97,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",107,1,auto,1.0,0.8070261075364248,1.0,0.7779702612963765,1.0,0.5194717563138616,1.0,0.6229697705334952
