,cols,n_estimators,min_samples_leaf,max_features,max_leaf_nodes,ac(train),ac(test),pr(train),pr(test),re(train),re(test),f1(train),f1(test)
0,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,11,100,0.754109394009992,0.7493084831003624,0.685951723200942,0.677882417481942,0.3653412448593171,0.35577522913767456,0.476758551767011,0.4666414904330312
1,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,11,200,0.7637019861916965,0.7562162561940685,0.7064301840916986,0.6901396160558464,0.39245269365751295,0.3795287681750564,0.5045859467673534,0.48973652435059906
2,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,11,300,0.7696372639294127,0.7602248354411656,0.7195197240968216,0.6978036065293565,0.4076124317088172,0.3918134267479246,0.5204095773346678,0.5018438844499078
3,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,11,400,0.7747737753173802,0.7640411212188447,0.7307821346194171,0.7063592601976184,0.4203118781432034,0.40136282931042755,0.533677367981808,0.5118727050183598
4,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,11,500,0.7792816280041566,0.7660971821610828,0.7416020134367785,0.7110345985891837,0.42999626132156255,0.406305484908105,0.5443608104187978,0.5171160717012245
5,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,11,600,0.7829722243793844,0.7680497004659419,0.7495211221190089,0.7150600400266844,0.43887260754730634,0.41148807524353376,0.553594791127879,0.5223721482744966
6,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,11,700,0.7863041154956973,0.770564307373715,0.7572159672466735,0.7205298013245033,0.4461087593617714,0.4176783914775181,0.5614455819742424,0.5288131474224612
7,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,11,800,0.7900390877792447,0.7718955698543007,0.7670835376818702,0.7242921013412816,0.45271777801898283,0.41978981716972985,0.5693916710275838,0.5315186681653856
8,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,11,900,0.7938443219176309,0.7739072553805192,0.7745064360337058,0.7281840591618735,0.4622453779080285,0.4252603291904602,0.5789553185704359,0.5369444696900845
9,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,11,1000,0.7963774466841952,0.7738628799644997,0.7797148021691103,0.7272578400065504,0.4682031429019381,0.4262200681414655,0.5850784058112987,0.537456129734963
10,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,11,1100,0.7982153488870892,0.7758301900746987,0.782543700544139,0.7296380090497737,0.4734975939795217,0.43332213637890493,0.5900006011060351,0.5437302423603794
11,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,11,1200,0.8016248978429611,0.7769691590858664,0.7913722055222663,0.7345111129202964,0.47943123846738306,0.4329382407985028,0.5971160345475028,0.5447738663124208
12,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,11,1300,0.8040803647699664,0.7772354115819836,0.7937130859643271,0.7334572190353075,0.48783723482518665,0.4356255098613177,0.6042724828204362,0.5466040462427746
13,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,11,1400,0.8066985433608094,0.7789216773907255,0.8001763150161623,0.7364577481743039,0.49260103476970946,0.4403762176687941,0.6097997939714248,0.5511711711711712
14,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,11,1500,0.8091207283565752,0.7795873086310184,0.8038245000970685,0.7364229972925626,0.4993547764632102,0.443783290944863,0.6160220788978404,0.5538221995987664
15,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,11,1600,0.8108698787428306,0.7797204348790769,0.8089015924867293,0.737594886136636,0.5017185860559354,0.4429675128365085,0.6193113304452682,0.5535168195718655
16,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,11,1700,0.8130479962428397,0.780933362916944,0.8133423702556158,0.7403332536075898,0.5065426872655788,0.44560679495177313,0.6242856187340681,0.5563477323108261
17,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,11,1800,0.8151373619262102,0.781687744989276,0.8168190127970749,0.7410402790992705,0.5119094998613071,0.4484860118047891,0.6293797541554841,0.558787480194912
18,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,11,1900,0.8169789621214643,0.7829598402485023,0.8198013739260223,0.7440240620547728,0.516685360058854,0.4510773069725035,0.6338699177368764,0.5616467003256356
19,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,11,2000,0.8189315020875166,0.783359218992678,0.8235406224390616,0.7448793989719257,0.5211476536777742,0.45198905897595854,0.6383431323307827,0.5625970612830008
20,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,11,2100,0.8208729480764893,0.7821906663708306,0.8273890914615618,0.7415455120101138,0.5254290435013327,0.45035750275924946,0.6427090939936418,0.5603821465890431
21,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,11,2200,0.822873561943221,0.7834923452407366,0.8315879178108133,0.7431775407779172,0.52958983079465,0.45477230193387397,0.6470874287145782,0.5642582834687863
22,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,11,2300,0.8248778738023127,0.7855040307669551,0.8337870055754755,0.7465764083411143,0.5356561380657766,0.4604347617448054,0.6522696899828176,0.5695883173547832
23,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,11,2400,0.8264975944559698,0.7845573552252052,0.8371387364438367,0.7455385097056982,0.5390209486595029,0.4570756754162868,0.6557891802268425,0.566711289602856
24,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,11,2500,0.8284168524907828,0.7859329931218105,0.8409837902442668,0.7479940796136169,0.5431093744346757,0.4607706703776573,0.6599934049023559,0.5702577503266422
25,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50,10,11,2600,0.8300587610985996,0.7868648768582206,0.8436279796214347,0.7504674353381116,0.5471978002098484,0.4622582657517155,0.6638234368941982,0.5721158129175946
